Generation	Total Cells	Plasmid	Donors	Recipients	Empty	Antibiotic	Percentage	
Generation	Total Cells	Plasmid	Donors	Recipients	Empty	Antibiotic	Percentage	
Generation	Total Cells	Plasmid	Donors	Recipients	Empty	Antibiotic	Percentage	
1	5000	0	611	3891	498	0	0.13571745	
2	5000	0	813	3689	498	0	0.18058641	
3	5000	0	991	3511	498	0	0.2201244	
4	5000	0	1143	3359	498	0	0.25388715	
5	5000	0	1264	3238	498	0	0.2807641	
6	5000	0	1380	3122	498	0	0.30653045	
7	5000	0	1462	3040	498	0	0.32474455	
8	5000	0	1552	2950	498	0	0.34473568	
9	5000	0	1639	2863	498	0	0.36406043	
10	5000	0	1711	2791	498	0	0.3800533	
11	5000	0	1760	2742	498	0	0.39093736	
12	5000	0	1841	2661	498	0	0.40892938	
13	5000	0	1890	2612	498	0	0.41981342	
14	5000	0	1948	2554	498	0	0.43269658	
15	5000	0	2001	2501	498	0	0.44446912	
16	5000	0	2041	2461	498	0	0.45335406	
17	5000	0	2081	2421	498	0	0.462239	
18	5000	0	2120	2382	498	0	0.47090182	
19	5000	0	2161	2341	498	0	0.48000887	
20	5000	0	2217	2285	498	0	0.4924478	
21	5000	0	2265	2237	498	0	0.50310975	
22	5000	0	2307	2195	498	0	0.5124389	
23	5000	0	2350	2152	498	0	0.52199024	
24	5000	0	2383	2119	498	0	0.5293203	
25	5000	0	2407	2095	498	0	0.5346513	
26	5000	0	2440	2062	498	0	0.54198134	
27	5000	0	2472	2030	498	0	0.5490893	
28	5000	0	2491	2011	498	0	0.5533096	
29	5000	0	2518	1984	498	0	0.559307	
30	5000	0	2542	1960	498	0	0.56463796	
31	5000	0	2562	1940	498	0	0.5690804	
32	5000	0	2587	1915	498	0	0.5746335	
33	5000	0	2607	1895	498	0	0.579076	
34	5000	0	2627	1875	498	0	0.58351845	
35	5000	0	2655	1847	498	0	0.5897379	
36	5000	0	2672	1830	498	0	0.59351397	
37	5000	0	2696	1806	498	0	0.59884495	
38	5000	0	2729	1773	498	0	0.606175	
39	5000	0	2746	1756	498	0	0.60995114	
40	5000	0	2757	1745	498	0	0.6123945	
41	5000	0	2773	1729	498	0	0.61594844	
42	5000	0	2791	1711	498	0	0.6199467	
43	5000	0	2814	1688	498	0	0.62505555	
44	5000	0	2831	1671	498	0	0.6288316	
45	5000	0	2847	1655	498	0	0.6323856	
46	5000	0	2858	1644	498	0	0.634829	
47	5000	0	2878	1624	498	0	0.63927144	
48	5000	0	2892	1610	498	0	0.6423812	
49	5000	0	2903	1599	498	0	0.6448245	
50	5000	0	2916	1586	498	0	0.6477121	
Generation	Total Cells	Plasmid	Donors	Recipients	Empty	Antibiotic	Percentage	
1	5000	1	565	3955	480	0	0.125	
2	5000	1	727	3793	480	0	0.1608407	
3	5000	1	911	3609	480	0	0.20154867	
4	5000	1	1050	3470	480	0	0.23230088	
5	5000	1	1226	3294	480	0	0.27123895	
6	5000	1	1377	3143	480	0	0.30464602	
7	5000	1	1551	2969	480	0	0.3431416	
8	5000	1	1717	2803	480	0	0.37986726	
9	5000	1	1931	2589	480	0	0.4272124	
10	5000	1	2158	2362	480	0	0.47743362	
11	5000	1	2392	2128	480	0	0.52920353	
12	5000	1	2579	1941	480	0	0.57057524	
13	5000	1	2782	1738	480	0	0.61548674	
14	5000	1	2955	1565	480	0	0.6537611	
15	5000	1	3140	1380	480	0	0.6946903	
16	5000	1	3325	1195	480	0	0.7356195	
17	5000	1	3461	1059	480	0	0.76570797	
18	5000	1	3608	912	480	0	0.7982301	
19	5000	1	3726	794	480	0	0.8243363	
20	5000	1	3830	690	480	0	0.8473451	
21	5000	1	3950	570	480	0	0.8738938	
22	5000	1	4036	484	480	0	0.8929204	
23	5000	1	4108	412	480	0	0.90884954	
24	5000	1	4158	362	480	0	0.9199115	
25	5000	1	4218	302	480	0	0.9331858	
26	5000	1	4259	261	480	0	0.9422566	
27	5000	1	4285	235	480	0	0.94800884	
28	5000	1	4319	201	480	0	0.955531	
29	5000	1	4337	183	480	0	0.95951325	
30	5000	1	4349	171	480	0	0.96216816	
31	5000	1	4366	154	480	0	0.9659292	
32	5000	1	4387	133	480	0	0.9705752	
33	5000	1	4408	112	480	0	0.9752212	
34	5000	1	4418	102	480	0	0.9774336	
35	5000	1	4433	87	480	0	0.9807522	
36	5000	1	4443	77	480	0	0.9829646	
37	5000	1	4448	72	480	0	0.9840708	
38	5000	1	4453	67	480	0	0.985177	
39	5000	1	4464	56	480	0	0.98761064	
40	5000	1	4469	51	480	0	0.98871684	
41	5000	1	4472	48	480	0	0.98938054	
42	5000	1	4476	44	480	0	0.9902655	
43	5000	1	4479	41	480	0	0.9909292	
44	5000	1	4483	37	480	0	0.99181414	
45	5000	1	4484	36	480	0	0.9920354	
46	5000	1	4484	36	480	0	0.9920354	
47	5000	1	4489	31	480	0	0.9931416	
48	5000	1	4491	29	480	0	0.9935841	
49	5000	1	4492	28	480	0	0.9938053	
50	5000	1	4493	27	480	0	0.99402654	
Generation	Total Cells	Plasmid	Donors	Recipients	Empty	Antibiotic	Percentage	
1	5000	2	571	3916	513	0	0.12725651	
2	5000	2	729	3758	513	0	0.16246936	
3	5000	2	922	3565	513	0	0.2054825	
4	5000	2	1118	3369	513	0	0.24916425	
5	5000	2	1304	3183	513	0	0.29061735	
6	5000	2	1544	2943	513	0	0.34410518	
7	5000	2	1787	2700	513	0	0.39826164	
8	5000	2	2028	2459	513	0	0.45197237	
9	5000	2	2280	2207	513	0	0.5081346	
10	5000	2	2530	1957	513	0	0.5638511	
11	5000	2	2765	1722	513	0	0.61622465	
12	5000	2	2989	1498	513	0	0.66614664	
13	5000	2	3216	1271	513	0	0.7167373	
14	5000	2	3429	1058	513	0	0.7642077	
15	5000	2	3586	901	513	0	0.7991977	
16	5000	2	3740	747	513	0	0.83351904	
17	5000	2	3880	607	513	0	0.8647203	
18	5000	2	3979	508	513	0	0.886784	
19	5000	2	4072	415	513	0	0.9075106	
20	5000	2	4148	339	513	0	0.92444843	
21	5000	2	4212	275	513	0	0.9387118	
22	5000	2	4275	212	513	0	0.9527524	
23	5000	2	4319	168	513	0	0.9625585	
24	5000	2	4355	132	513	0	0.97058165	
25	5000	2	4378	109	513	0	0.9757076	
26	5000	2	4393	94	513	0	0.9790506	
27	5000	2	4406	81	513	0	0.98194784	
28	5000	2	4422	65	513	0	0.9855137	
29	5000	2	4434	53	513	0	0.9881881	
30	5000	2	4442	45	513	0	0.98997104	
31	5000	2	4448	39	513	0	0.9913082	
32	5000	2	4455	32	513	0	0.9928683	
33	5000	2	4458	29	513	0	0.9935369	
34	5000	2	4458	29	513	0	0.9935369	
35	5000	2	4459	28	513	0	0.99375975	
36	5000	2	4462	25	513	0	0.99442834	
37	5000	2	4465	22	513	0	0.9950969	
38	5000	2	4465	22	513	0	0.9950969	
39	5000	2	4466	21	513	0	0.9953198	
40	5000	2	4466	21	513	0	0.9953198	
41	5000	2	4466	21	513	0	0.9953198	
42	5000	2	4466	21	513	0	0.9953198	
43	5000	2	4467	20	513	0	0.9955427	
44	5000	2	4467	20	513	0	0.9955427	
45	5000	2	4469	18	513	0	0.9959884	
46	5000	2	4470	17	513	0	0.9962113	
47	5000	2	4470	17	513	0	0.9962113	
48	5000	2	4471	16	513	0	0.99643415	
