Generation	Total Cells	Plasmid	Donors	Recipients	Empty	Antibiotic	Percentage	
Generation	Total Cells	Plasmid	Donors	Recipients	Empty	Antibiotic	Percentage	
Generation	Total Cells	Plasmid	Donors	Recipients	Empty	Antibiotic	Percentage	
Generation	Total Cells	Plasmid	Donors	Recipients	Empty	Antibiotic	Percentage	
Generation	Total Cells	Plasmid	Donors	Recipients	Empty	Antibiotic	Percentage	
Generation	Total Cells	Plasmid	Donors	Recipients	Empty	Antibiotic	Percentage	
Generation	Total Cells	Plasmid	Donors	Recipients	Empty	Antibiotic	Percentage	
Generation	Total Cells	Plasmid	Donors	Recipients	Empty	Antibiotic	Percentage	
Generation	Total Cells	Plasmid	Donors	Recipients	Empty	Antibiotic	Percentage	
1	2500	2	2	2498	0	0	8.0E-4	
2	2500	2	2	2498	0	0	8.0E-4	
3	2500	2	3	2497	0	0	0.0012	
4	2500	2	3	2497	0	0	0.0012	
5	2500	2	3	2497	0	0	0.0012	
6	2500	2	3	2497	0	0	0.0012	
7	2500	2	3	2497	0	0	0.0012	
8	2500	2	5	2495	0	0	0.0020	
9	2500	2	6	2494	0	0	0.0024	
10	2500	2	8	2492	0	0	0.0032	
11	2500	2	9	2491	0	0	0.0036	
12	2500	2	11	2489	0	0	0.0044	
13	2500	2	18	2482	0	0	0.0072	
14	2500	2	21	2479	0	0	0.0084	
15	2500	2	27	2473	0	0	0.0108	
16	2500	2	32	2468	0	0	0.0128	
17	2500	2	35	2465	0	0	0.014	
18	2500	2	41	2459	0	0	0.0164	
19	2500	2	47	2453	0	0	0.0188	
20	2500	2	51	2449	0	0	0.0204	
21	2500	2	63	2437	0	0	0.0252	
22	2500	2	71	2429	0	0	0.0284	
23	2500	2	76	2424	0	0	0.0304	
24	2500	2	87	2413	0	0	0.0348	
25	2500	2	96	2404	0	0	0.0384	
26	2500	2	103	2397	0	0	0.0412	
27	2500	2	111	2389	0	0	0.0444	
28	2500	2	122	2378	0	0	0.0488	
29	2500	2	127	2373	0	0	0.0508	
30	2500	2	140	2360	0	0	0.056	
31	2500	2	149	2351	0	0	0.0596	
32	2500	2	165	2335	0	0	0.066	
33	2500	2	180	2320	0	0	0.072	
34	2500	2	195	2305	0	0	0.078	
35	2500	2	206	2294	0	0	0.0824	
36	2500	2	218	2282	0	0	0.0872	
37	2500	2	240	2260	0	0	0.096	
38	2500	2	254	2246	0	0	0.1016	
39	2500	2	266	2234	0	0	0.1064	
40	2500	2	288	2212	0	0	0.1152	
41	2500	2	305	2195	0	0	0.122	
42	2500	2	340	2160	0	0	0.136	
43	2500	2	351	2149	0	0	0.1404	
44	2500	2	382	2118	0	0	0.1528	
45	2500	2	403	2097	0	0	0.1612	
46	2500	2	423	2077	0	0	0.1692	
47	2500	2	441	2059	0	0	0.1764	
48	2500	2	466	2034	0	0	0.1864	
49	2500	2	488	2012	0	0	0.1952	
50	2500	2	511	1989	0	0	0.2044	
51	2500	2	535	1965	0	0	0.214	
52	2500	2	555	1945	0	0	0.222	
53	2500	2	584	1916	0	0	0.2336	
54	2500	2	618	1882	0	0	0.2472	
55	2500	2	642	1858	0	0	0.2568	
56	2500	2	674	1826	0	0	0.2696	
57	2500	2	710	1790	0	0	0.284	
58	2500	2	737	1763	0	0	0.2948	
59	2500	2	774	1726	0	0	0.3096	
60	2500	2	813	1687	0	0	0.3252	
61	2500	2	845	1655	0	0	0.338	
62	2500	2	879	1621	0	0	0.3516	
63	2500	2	925	1575	0	0	0.37	
64	2500	2	959	1541	0	0	0.3836	
65	2500	2	986	1514	0	0	0.3944	
66	2500	2	1026	1474	0	0	0.4104	
67	2500	2	1060	1440	0	0	0.424	
68	2500	2	1108	1392	0	0	0.4432	
69	2500	2	1153	1347	0	0	0.4612	
70	2500	2	1192	1308	0	0	0.4768	
71	2500	2	1228	1272	0	0	0.4912	
72	2500	2	1261	1239	0	0	0.5044	
73	2500	2	1299	1201	0	0	0.5196	
74	2500	2	1326	1174	0	0	0.5304	
75	2500	2	1355	1145	0	0	0.542	
76	2500	2	1404	1096	0	0	0.5616	
77	2500	2	1433	1067	0	0	0.5732	
78	2500	2	1477	1023	0	0	0.5908	
79	2500	2	1520	980	0	0	0.608	
80	2500	2	1568	932	0	0	0.6272	
81	2500	2	1616	884	0	0	0.6464	
82	2500	2	1654	846	0	0	0.6616	
83	2500	2	1689	811	0	0	0.6756	
84	2500	2	1727	773	0	0	0.6908	
85	2500	2	1759	741	0	0	0.7036	
86	2500	2	1802	698	0	0	0.7208	
87	2500	2	1842	658	0	0	0.7368	
88	2500	2	1872	628	0	0	0.7488	
89	2500	2	1914	586	0	0	0.7656	
90	2500	2	1951	549	0	0	0.7804	
91	2500	2	1991	509	0	0	0.7964	
92	2500	2	2025	475	0	0	0.81	
93	2500	2	2060	440	0	0	0.824	
94	2500	2	2089	411	0	0	0.8356	
95	2500	2	2119	381	0	0	0.8476	
96	2500	2	2146	354	0	0	0.8584	
97	2500	2	2178	322	0	0	0.8712	
98	2500	2	2209	291	0	0	0.8836	
99	2500	2	2228	272	0	0	0.8912	
100	2500	2	2262	238	0	0	0.9048	
101	2500	2	2291	209	0	0	0.9164	
102	2500	2	2315	185	0	0	0.926	
103	2500	2	2338	162	0	0	0.9352	
104	2500	2	2359	141	0	0	0.9436	
105	2500	2	2378	122	0	0	0.9512	
106	2500	2	2401	99	0	0	0.9604	
107	2500	2	2419	81	0	0	0.9676	
108	2500	2	2428	72	0	0	0.9712	
109	2500	2	2437	63	0	0	0.9748	
110	2500	2	2451	49	0	0	0.9804	
111	2500	2	2457	43	0	0	0.9828	
112	2500	2	2465	35	0	0	0.986	
113	2500	2	2473	27	0	0	0.9892	
114	2500	2	2474	26	0	0	0.9896	
115	2500	2	2483	17	0	0	0.9932	
116	2500	2	2489	11	0	0	0.9956	
117	2500	2	2494	6	0	0	0.9976	
118	2500	2	2498	2	0	0	0.9992	
119	2500	2	2500	0	0	0	1.0	
120	2500	2	2500	0	0	0	1.0	
Generation	Total Cells	Plasmid	Donors	Recipients	Empty	Antibiotic	Percentage	
1	2500	0	1	2499	0	0	4.0E-4	
2	2500	0	2	2498	0	0	8.0E-4	
3	2500	0	3	2497	0	0	0.0012	
4	2500	0	4	2496	0	0	0.0016	
5	2500	0	5	2495	0	0	0.0020	
6	2500	0	5	2495	0	0	0.0020	
7	2500	0	9	2491	0	0	0.0036	
8	2500	0	9	2491	0	0	0.0036	
9	2500	0	10	2490	0	0	0.0040	
10	2500	0	11	2489	0	0	0.0044	
11	2500	0	13	2487	0	0	0.0052	
12	2500	0	13	2487	0	0	0.0052	
13	2500	0	14	2486	0	0	0.0056	
14	2500	0	17	2483	0	0	0.0068	
15	2500	0	17	2483	0	0	0.0068	
16	2500	0	17	2483	0	0	0.0068	
17	2500	0	18	2482	0	0	0.0072	
18	2500	0	19	2481	0	0	0.0076	
19	2500	0	21	2479	0	0	0.0084	
20	2500	0	24	2476	0	0	0.0096	
21	2500	0	24	2476	0	0	0.0096	
22	2500	0	27	2473	0	0	0.0108	
23	2500	0	28	2472	0	0	0.0112	
24	2500	0	28	2472	0	0	0.0112	
25	2500	0	28	2472	0	0	0.0112	
Generation	Total Cells	Plasmid	Donors	Recipients	Empty	Antibiotic	Percentage	
