Generation	Total Cells	Plasmid	Donors	Recipients	Empty	Antibiotic	Percentage	
Generation	Total Cells	Plasmid	Donors	Recipients	Empty	Antibiotic	Percentage	
Generation	Total Cells	Plasmid	Donors	Recipients	Empty	Antibiotic	Percentage	
1	100	1	26	46	28	1	0.3611111	
2	100	1	30	42	28	1	0.41666666	
3	100	1	32	40	28	1	0.44444445	
4	100	1	32	40	28	1	0.44444445	
5	100	1	34	38	28	1	0.4722222	
6	100	1	38	34	28	1	0.5277778	
7	100	1	38	34	28	1	0.5277778	
8	100	1	40	32	28	1	0.5555556	
9	100	1	42	30	28	1	0.5833333	
10	100	1	42	30	28	1	0.5833333	
11	100	1	44	28	28	1	0.6111111	
12	100	1	44	28	28	1	0.6111111	
Generation	Total Cells	Plasmid	Donors	Recipients	Empty	Antibiotic	Percentage	
1	100	1	25	46	29	1	0.35211268	
2	100	1	28	43	29	1	0.3943662	
3	100	1	31	40	29	1	0.43661973	
4	100	1	34	37	29	1	0.47887325	
5	100	1	35	36	29	1	0.49295774	
6	100	1	37	34	29	1	0.52112675	
7	100	1	39	32	29	1	0.5492958	
8	100	1	42	29	29	1	0.5915493	
9	100	1	43	28	29	1	0.6056338	
10	100	1	43	28	29	1	0.6056338	
11	100	1	44	27	29	1	0.6197183	
12	100	1	46	25	29	1	0.64788735	
13	100	1	48	23	29	1	0.6760563	
14	100	1	48	23	29	1	0.6760563	
15	100	1	50	21	29	1	0.70422536	
16	100	1	50	21	29	1	0.70422536	
17	100	1	51	20	29	1	0.7183099	
18	100	1	52	19	29	1	0.73239434	
19	100	1	53	18	29	1	0.74647886	
20	100	1	53	18	29	1	0.74647886	
21	100	1	53	18	29	1	0.74647886	
Generation	Total Cells	Plasmid	Donors	Recipients	Empty	Antibiotic	Percentage	
Generation	Total Cells	Plasmid	Donors	Recipients	Empty	Antibiotic	Percentage	
1	25	1	10	7	8	0	0.5882353	
2	25	1	11	6	8	0	0.64705884	
3	25	1	11	6	8	0	0.64705884	
4	25	1	11	6	8	0	0.64705884	
5	25	1	12	5	8	0	0.7058824	
6	25	1	12	5	8	0	0.7058824	
7	25	1	12	5	8	0	0.7058824	
8	25	1	12	5	8	0	0.7058824	
9	25	1	12	5	8	0	0.7058824	
10	25	1	13	4	8	0	0.7647059	
11	25	1	14	3	8	0	0.8235294	
12	25	1	14	3	8	0	0.8235294	
13	25	1	15	2	8	0	0.88235295	
14	25	1	15	2	8	0	0.88235295	
15	25	1	15	2	8	0	0.88235295	
16	25	1	16	1	8	0	0.9411765	
17	25	1	16	1	8	0	0.9411765	
18	25	1	16	1	8	0	0.9411765	
19	25	1	16	1	8	0	0.9411765	
20	25	1	16	1	8	0	0.9411765	
21	25	1	16	1	8	0	0.9411765	
22	25	1	16	1	8	0	0.9411765	
23	25	1	16	1	8	0	0.9411765	
24	25	1	16	1	8	0	0.9411765	
25	25	1	16	1	8	0	0.9411765	
26	25	1	16	1	8	0	0.9411765	
27	25	1	16	1	8	0	0.9411765	
Generation	Total Cells	Plasmid	Donors	Recipients	Empty	Antibiotic	Percentage	
1	25	1	5	11	9	1	0.3125	
2	25	1	5	11	9	1	0.3125	
3	25	1	5	11	9	1	0.3125	
4	25	1	5	11	9	1	0.3125	
5	25	1	6	10	9	1	0.375	
6	25	1	7	9	9	1	0.4375	
7	25	1	7	9	9	1	0.4375	
8	25	1	7	9	9	1	0.4375	
9	25	1	7	9	9	1	0.4375	
10	25	1	8	8	9	1	0.5	
11	25	1	8	8	9	1	0.5	
12	25	1	8	8	9	1	0.5	
13	25	1	8	8	9	1	0.5	
14	25	1	8	8	9	1	0.5	
15	25	1	8	8	9	1	0.5	
16	25	1	8	8	9	1	0.5	
17	25	1	8	8	9	1	0.5	
18	25	1	8	8	9	1	0.5	
19	25	1	8	8	9	1	0.5	
20	25	1	8	8	9	1	0.5	
21	25	1	8	8	9	1	0.5	
22	25	1	8	8	9	1	0.5	
23	25	1	8	8	9	1	0.5	
24	25	1	8	8	9	1	0.5	
25	25	1	8	8	9	1	0.5	
26	25	1	8	8	9	1	0.5	
27	25	1	8	8	9	1	0.5	
28	25	1	8	8	9	1	0.5	
29	25	1	8	8	9	1	0.5	
30	25	1	8	8	9	1	0.5	
31	25	1	8	8	9	1	0.5	
32	25	1	8	8	9	1	0.5	
33	25	1	8	8	9	1	0.5	
34	25	1	8	8	9	1	0.5	
35	25	1	8	8	9	1	0.5	
36	25	1	8	8	9	1	0.5	
37	25	1	8	8	9	1	0.5	
38	25	1	8	8	9	1	0.5	
39	25	1	8	8	9	1	0.5	
40	25	1	8	8	9	1	0.5	
41	25	1	8	8	9	1	0.5	
42	25	1	8	8	9	1	0.5	
43	25	1	8	8	9	1	0.5	
44	25	1	8	8	9	1	0.5	
45	25	1	8	8	9	1	0.5	
46	25	1	8	8	9	1	0.5	
47	25	1	8	8	9	1	0.5	
48	25	1	8	8	9	1	0.5	
49	25	1	8	8	9	1	0.5	
50	25	1	8	8	9	1	0.5	
51	25	1	9	7	9	1	0.5625	
52	25	1	9	7	9	1	0.5625	
53	25	1	9	7	9	1	0.5625	
54	25	1	9	7	9	1	0.5625	
55	25	1	10	6	9	1	0.625	
56	25	1	10	6	9	1	0.625	
57	25	1	10	6	9	1	0.625	
58	25	1	10	6	9	1	0.625	
59	25	1	10	6	9	1	0.625	
60	25	1	10	6	9	1	0.625	
61	25	1	10	6	9	1	0.625	
62	25	1	10	6	9	1	0.625	
63	25	1	10	6	9	1	0.625	
64	25	1	10	6	9	1	0.625	
65	25	1	10	6	9	1	0.625	
66	25	1	10	6	9	1	0.625	
67	25	1	10	6	9	1	0.625	
